n,pais,code,year,gdppc.g,partido.pres.perc,inmediata
1,Argentina,ARG,1990,7.614342819,NA,0
2,Argentina,ARG,1991,6.487606324,NA,0
3,Argentina,ARG,1992,6.802920861,NA,0
4,Argentina,ARG,1993,4.505472299,NA,0
5,Argentina,ARG,1994,-4.032155953,NA,1
6,Argentina,ARG,1995,4.27459837,49.9419,1
7,Argentina,ARG,1996,6.864754271,NA,1
8,Argentina,ARG,1997,2.680954121,NA,1
9,Argentina,ARG,1998,-4.455157264,NA,1
10,Argentina,ARG,1999,-1.874912415,38.2735,1
11,Argentina,ARG,2000,-5.447091545,NA,1
12,Argentina,ARG,2001,-11.85477684,NA,1
13,Argentina,ARG,2002,7.676545539,NA,1
14,Argentina,ARG,2003,7.884937565,22.2433,1
15,Argentina,ARG,2004,7.729475205,NA,1
16,Argentina,ARG,2005,6.955547382,NA,1
17,Argentina,ARG,2006,7.924238139,NA,1
18,Argentina,ARG,2007,3.029477312,45.283,1
19,Argentina,ARG,2008,-6.854227333,NA,1
20,Argentina,ARG,2009,9.300128322,NA,1
21,Argentina,ARG,2010,4.788683139,NA,1
22,Argentina,ARG,2011,-2.14528445,54.1109,1
23,Argentina,ARG,2012,1.265685175,NA,1
24,Argentina,ARG,2013,-3.57858051,NA,1
25,Argentina,ARG,2014,1.629664279,NA,1
26,Argentina,ARG,2015,-3.110063898,37.0807,1
27,Argentina,ARG,2016,1.609282344,NA,1
28,Argentina,ARG,2017,-3.499841931,NA,1
29,Argentina,ARG,2018,NA,NA,1
30,Bolivia,BOL,1990,3.065381596,NA,0
31,Bolivia,BOL,1991,-0.475129472,NA,0
32,Bolivia,BOL,1992,2.10302011,NA,0
33,Bolivia,BOL,1993,2.509343516,21.0513,0
34,Bolivia,BOL,1994,2.542158718,NA,0
35,Bolivia,BOL,1995,2.25609057,NA,0
36,Bolivia,BOL,1996,2.862504921,NA,0
37,Bolivia,BOL,1997,2.962909853,18.1995,0
